name, performance_score, sustainability_score, unminified_html_score, unminified_html_value, unminified_css_score, unminified_css_value, unminified_js_score, unminified_js_value, video_codec_score, video_codec_value, font_family_score, font_family_value, font_format_score, font_format_value, responsive_images_score, responsive_images_value, optimised_images_score, optimised_images_value, text_compression_score, text_compression_value
55_New_York_University_NYU,0.33,0.61,0.74,21784,0,150,0,300,None,0,0,11,0.91,1,1,0,1,0,1,0
57_Macquarie_University,0.48,0.26,0.62,34167,1,0,1,0,None,0,0,5,0,5,0.5,7000,0,5340,1,0
58_KTH_Royal_Institute_of_Technology_,0.75,0.49,0.84,8278,1,0,1,0,None,0,0,1,1,0,0.5,850,0,1030,0.5,340
59_Aalto_University,0.65,0.6,0.82,37683,1,0,1,0,None,0,0,2,0.67,2,0.5,150,1,0,1,0
5_The_University_of_Auckland,0.75,0.72,0.54,118791,1,0,0.5,10,None,0,0,4,1,0,1,0,1,0,1,0
60_University_of_Helsinki,0.44,0.68,0.75,121746,1,0,1,0,None,0,0,2,1,0,0.5,0,1,0,1,0
61_University_of_Reading,0.47,0.29,0.74,31443,0,0,1,0,None,0,0,7,0,7,0.5,2550,0.5,3310,0,2840
62_RMIT_University,0.27,0.78,0.75,65464,1,0,1,0,1,0,0,14,0.67,4,1,0,1,0,0.5,0
62_University_of_Wollongong,0.27,0.55,0.8,9727,1,0,1,0,None,0,0,7,0.95,1,0.5,2220,0.5,0,0,440
64_Loughborough_University,0.51,0.43,0.83,11231,1,0,1,0,None,0,0,16,0,16,1,0,0.5,4220,0,3060
66_Deakin_University,0.28,0.28,0.94,9308,1,0,1,0,None,0,0,11,0.08,12,0.5,0,0,780,0.5,160
67_Universidade_de_São_Paulo,0.52,0.68,1,7051,1,0,1,0,None,0,0,13,0.99,3,0.5,2430,1,0,1,0
68_University_of_Calgary,0.41,0.65,0.64,54682,1,0,0,310,None,0,0,28,0.95,2,1,0,1,0,0.5,0
68_University_of_Waterloo,0.51,0.68,0.88,12427,1,0,0,310,None,0,0,16,1,0,1,0,1,0,1,0
6_Imperial_College_London,0.44,0.65,0.86,12239,1,0,1,0,None,0,0,2,0.89,1,0.5,1440,1,0,1,0
70_Technical_University_of_Munich,0.79,0.78,0.82,77630,1,0,1,0,1,0,0,4,1,0,0.5,1720,1,0,1,0
71_University_of_Pennsylvania,0.57,0.31,0.87,21680,1,0,0,10,None,0,0,3,0.98,1,0,3440,0,1410,1,0
72_University_of_Ottawa,0.42,None,0.77,86241,1,0,1,0,None,None,0,4,0.96,1,0,2190,0.5,310,1,0
73_University_of_Gothenburg,0.49,0.36,0.85,34218,1,0,0,10,None,0,0,4,0.78,2,0.5,620,0,1140,1,0
74_The_University_of_Newcastle_Australia_UON,0.32,0.44,0.87,6748,0,330,1,0,None,0,0,8,0.95,1,0,2930,0.5,170,1,0
75_Wageningen_University,0.59,0.77,0.76,81706,1,0,1,0,None,0,0,1,1,0,1,0,1,0,1,0
76_Universitat_de_Barcelona,0.35,0.62,0.83,18531,0.5,190,1,0,1,0,0,7,1,0,0,1910,0.5,190,0,18710
76_Yale_University,0.65,0.68,0.92,7923,1,0,0,300,None,0,0,5,1,0,1,0,1,0,1,0
78_McMaster_University,0.24,0.62,0.76,21178,0.5,0,0,750,None,0,0,6,0.97,4,1,0,1,0,0,2260
78_University_of_Cologne,0.74,0.22,0.82,18914,0,0,1,0,None,0,0,7,0,7,0,300,0.5,150,1,0
7_The_University_of_Sydney,0.25,0.49,0.76,19295,1,0,0,150,None,0,0,11,0.99,1,0,6510,1,0,1,0
80_Swansea_University,0.45,0.58,0.82,14346,1,0,1,0,None,0,0,21,1,0,0,1300,1,0,0.5,0
81_Massey_University,0.32,0.67,0.9,6326,1,0,1,0,None,0,0,2,1,0,0.5,150,1,0,0.5,0
81_University_of_East_Anglia_UEA,0.32,0.23,0.77,56609,0,160,0,2130,None,0,0,5,0.93,1,0,6870,0,6870,0,1630
81_Université_de_Montréal_,0.46,0.47,0.87,10551,0.5,60,0,380,None,0,0,6,0.99,1,0.5,16490,0.5,4840,1,0
81_Victoria_University_of_Wellington,0.43,0.56,0.85,7024,1,0,1,0,None,0,0,6,0.88,7,0,8580,1,0,1,0
85_The_London_School_of_Economics_and_Political_Science_LSE,0.46,0.33,0.91,8989,0.5,170,0.5,0,None,0,0,4,0.98,1,0,12840,0,12840,1,0
86_University_of_Canterbury',None,None,0.68,80145,None,None,None,None,None,0,0,11,0.98,1,None,None,None,None,None,None
86_University_of_St_Andrews,0.69,0.77,0.9,2576,1,0,1,0,None,0,0,4,1,0,1,0,1,0,1,0
88_University_College_Cork,0.36,0.45,0.82,8804,1,0,0.5,0,None,0,0,7,0.99,1,0,1570,0.5,1570,1,0
89_Curtin_University,0.23,0.77,0.84,65460,1,0,1,0,None,0,0,2,1,0,1,0,1,0,1,0
89_University_of_Saskatchewan,0.59,0.48,0.7,42434,1,0,1,0,None,0,0,5,0.13,7,1,0,0.5,1140,1,0
8_Lund_University,0.62,0.63,0.65,114566,0.5,0,1,0,None,0,0,8,1,0,0.5,490,1,0,0,600
91_Universität_Hamburg,0.63,0.75,1,2772,0.5,0,1,0,1,0,0,9,0.89,1,1,0,0.5,610,1,0
92_University_of_Bath,0.58,0.5,0.8,9151,1,0,1,0,None,0,0,1,1,0,0.5,1810,0,150,1,0
93_Purdue_University,0.54,0.56,0.7,41060,1,0,1,0,None,0,0,14,1,0,0.5,1870,0.5,1830,0,2680
94_Albert-Ludwigs-Universitaet_Freiburg,0.51,0.38,0.87,32410,1,0,0,160,None,0,0,4,1,0,0.5,160,0,1100,0,320
94_National_Taiwan_University_NTU,0.3,0.52,1,-3036,0,50,1,0,None,0,0,2,1,0,0.5,600,0.5,9020,0,3040
96_Concordia_University,0.45,0.17,0.65,48804,1,0,0,30,None,0,0,25,0,27,0,8120,0.5,7230,1,0
96_Simon_Fraser_University,0.46,0.32,0.8,12033,0.5,0,0.5,0,None,0,0,9,0.94,1,0,56000,0,23080,1,0
98_The_University_of_Warwick,0.58,0.39,0.77,10007,1,0,1,0,None,0,0,4,1,0,0,1570,0,630,0.5,160
99_University_of_Waikato,0.37,0.3,0.94,3515,1,0,0.5,0,None,0,0,7,0.32,13,0.5,2470,0,3120,1,0
9_The_University_of_Melbourne,0.43,0.59,0.78,6939,1,0,1,0,None,0,0,4,1,0,0,180,1,0,1,0
